,p,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
135,0.30000000000000004,1000.0,0.16766268260292164,0.21184197828256804,0.2667904682315321,0.36759525563099277,0.1195462524219838
136,0.30000000000000004,500.0,0.17357237715803453,0.17975912843665048,0.13173156728554125,0.21484529634184857,0.11683778679344836
137,0.30000000000000004,1000.0,0.1695883134130146,0.17238011770430803,0.06205462996336791,0.14442367108325282,0.12300842584494398
138,0.30000000000000004,500.0,0.1749003984063745,0.1946876137549847,0.2307010363573322,0.32521806165417166,0.12756950739857853
139,0.30000000000000004,1000.0,0.17104913678618858,0.20343041555368527,0.2267248012310849,0.325880524393869,0.123968182674987
140,0.35000000000000003,500.0,0.17377158034528553,0.15956505921071384,0.08727896079801173,0.16014667537695615,0.12559204244722466
141,0.35000000000000003,1000.0,0.1702523240371846,0.16584712762288517,0.10861845107905577,0.18460507081989386,0.12641068216613294
142,0.35000000000000003,500.0,0.18705179282868525,0.17753236661860392,0.30608042379663336,0.3851134465111887,0.12506207598294894
143,0.35000000000000003,1000.0,0.1741699867197875,0.160593338578303,0.20976939435672792,0.27418594971352517,0.11983939889847617
144,0.35000000000000003,500.0,0.17629482071713148,0.18625226070715298,0.17715923962000424,0.269791994666445,0.13114954921457755
145,0.35000000000000003,1000.0,0.17071713147410358,0.18607786523249692,0.13707186640855318,0.22801347186134707,0.12619426247714471
146,0.35000000000000003,500.0,0.17695883134130147,0.17235097155470197,0.10857332500881095,0.1923983097086206,0.12730157545068566
147,0.35000000000000003,1000.0,0.17144754316069058,0.15791544330902393,0.07977946489620141,0.15105711340244665,0.12576786213153113
148,0.35000000000000003,500.0,0.17171314741035856,0.21089957273911078,0.2913339094999518,0.3909964924448149,0.11891183723024845
149,0.35000000000000003,1000.0,0.1695219123505976,0.22455367125040854,0.34821674908362665,0.45283740662209737,0.11354499402243168
150,0.35000000000000003,500.0,0.17197875166002657,0.17779115152986896,0.14554814180553405,0.2284075232215843,0.12323325037679878
151,0.35000000000000003,1000.0,0.1701195219123506,0.15263427333243051,0.06825746536574112,0.1347619001921736,0.124098929132752
152,0.35000000000000003,500.0,0.17669322709163346,0.1643044678600113,0.11248158542165176,0.18976144491686864,0.12811574194773434
153,0.35000000000000003,1000.0,0.17151394422310756,0.1796963629155786,0.1819317499604433,0.2634475465221876,0.12163711254451681
154,0.35000000000000003,500.0,0.17177954847277557,0.20608628572161022,0.19820455362033895,0.30134933931016383,0.12384387524958529
155,0.35000000000000003,1000.0,0.1697211155378486,0.22179457597176586,0.23190744471627978,0.3440219179360955,0.12078878507514945
