,p,checkpoint,train_error,demographic parity,equal odds,equal_opportunity,overall accuracy
0,0.8,500,0.31333333333333335,0.18666666666666668,0.3733333333333333,0.26666666666666666,0.08000000000000007
1,0.8,1000,0.3,0.10666666666666669,0.21333333333333337,0.10666666666666663,0.0
0,0.8,500,0.31,0.18000000000000002,0.35999999999999993,0.2533333333333333,0.07333333333333336
1,0.8,1000,0.31333333333333335,0.14666666666666664,0.2933333333333333,0.19999999999999996,0.053333333333333344
0,0.8,500,0.27,0.11333333333333334,0.2266666666666668,0.13333333333333336,0.020000000000000018
1,0.8,1000,0.29,0.07333333333333336,0.1466666666666666,0.06666666666666665,0.00666666666666671
0,0.8,500,0.31666666666666665,0.16666666666666669,0.33333333333333337,0.24000000000000005,0.07333333333333336
1,0.8,1000,0.31,0.08666666666666664,0.17333333333333328,0.08000000000000002,0.00666666666666671
0,0.8,500,0.29333333333333333,0.14666666666666667,0.29333333333333333,0.25333333333333335,0.10666666666666669
1,0.8,1000,0.29,0.16666666666666669,0.33333333333333326,0.27999999999999997,0.1133333333333334
0,0.8,500,0.32666666666666666,0.09333333333333332,0.1866666666666667,0.12,0.026666666666666616
1,0.8,1000,0.28,0.12000000000000002,0.24000000000000005,0.2,0.07999999999999996
0,0.8,500,0.28,0.026666666666666672,0.053333333333333344,0.013333333333333364,0.040000000000000036
1,0.8,1000,0.2733333333333333,0.0,0.0,0.026666666666666727,0.026666666666666616
0,0.8,500,0.28,0.13333333333333333,0.2666666666666667,0.22666666666666668,0.09333333333333338
1,0.8,1000,0.29,0.0866666666666667,0.17333333333333334,0.10666666666666663,0.020000000000000018
0,0.8,500,0.29333333333333333,0.053333333333333316,0.10666666666666663,0.13333333333333336,0.08000000000000007
1,0.8,1000,0.3,0.053333333333333316,0.10666666666666669,0.10666666666666669,0.053333333333333344
0,0.8,500,0.30666666666666664,0.13333333333333336,0.2666666666666667,0.21333333333333337,0.07999999999999996
1,0.8,1000,0.3,0.15999999999999998,0.32000000000000006,0.2,0.039999999999999925
0,0.9,500,0.31666666666666665,0.24666666666666665,0.4933333333333334,0.32,0.07333333333333336
1,0.9,1000,0.31333333333333335,0.24000000000000002,0.48000000000000004,0.28,0.040000000000000036
0,0.9,500,0.3,0.10666666666666663,0.21333333333333332,0.18666666666666665,0.07999999999999996
1,0.9,1000,0.2966666666666667,0.15333333333333332,0.30666666666666664,0.26666666666666666,0.1133333333333334
0,0.9,500,0.27666666666666667,0.15333333333333335,0.3066666666666667,0.14666666666666667,0.00666666666666671
1,0.9,1000,0.27666666666666667,0.09999999999999998,0.19999999999999996,0.07999999999999996,0.019999999999999907
0,0.9,500,0.29,0.15333333333333332,0.30666666666666664,0.21333333333333332,0.05999999999999994
1,0.9,1000,0.28,0.14666666666666664,0.2933333333333333,0.21333333333333326,0.06666666666666665
0,0.9,500,0.33666666666666667,0.16666666666666669,0.33333333333333337,0.2666666666666667,0.10000000000000009
1,0.9,1000,0.2966666666666667,0.15333333333333332,0.30666666666666675,0.20000000000000007,0.046666666666666634
0,0.9,500,0.30333333333333334,0.15333333333333332,0.30666666666666664,0.26666666666666666,0.11333333333333329
1,0.9,1000,0.2833333333333333,0.12666666666666665,0.2533333333333333,0.19999999999999996,0.07333333333333325
0,0.9,500,0.35333333333333333,0.1466666666666667,0.2933333333333334,0.17333333333333334,0.026666666666666727
1,0.9,1000,0.30333333333333334,0.12666666666666665,0.2533333333333333,0.12,0.006666666666666599
0,0.9,500,0.32,0.18666666666666668,0.37333333333333335,0.22666666666666668,0.039999999999999925
1,0.9,1000,0.26666666666666666,0.08000000000000002,0.15999999999999992,0.07999999999999996,0.0
0,0.9,500,0.29,0.18000000000000002,0.36000000000000004,0.32000000000000006,0.14
1,0.9,1000,0.30333333333333334,0.16666666666666663,0.33333333333333337,0.32,0.15333333333333332
0,0.9,500,0.30666666666666664,0.19999999999999998,0.39999999999999997,0.30666666666666664,0.10666666666666669
1,0.9,1000,0.29333333333333333,0.2,0.4,0.28,0.08000000000000007
0,1.0,500,0.24333333333333335,0.09999999999999998,0.20000000000000007,0.10666666666666669,0.00666666666666671
1,1.0,1000,0.2633333333333333,0.0733333333333333,0.14666666666666672,0.06666666666666671,0.00666666666666671
0,1.0,500,0.33666666666666667,0.11333333333333334,0.22666666666666668,0.09333333333333332,0.020000000000000018
1,1.0,1000,0.31,0.07333333333333336,0.14666666666666672,0.053333333333333344,0.019999999999999907
0,1.0,500,0.2833333333333333,0.09999999999999998,0.20000000000000007,0.12000000000000005,0.020000000000000018
1,1.0,1000,0.29,0.11333333333333334,0.22666666666666668,0.12000000000000005,0.00666666666666671
0,1.0,500,0.2966666666666667,0.15333333333333335,0.30666666666666675,0.2666666666666667,0.1133333333333334
1,1.0,1000,0.25333333333333335,0.07999999999999996,0.15999999999999992,0.1466666666666666,0.06666666666666665
